,sgID,CRISPRoff-Rep1,CRISPRoff Rep2,CRISPRoff mut Rep1,CRISPRoff mut Rep2,gene,source_A,CRISPRoff_average,mutant_average,CpG,hit_and_run_hit,mutant_hit
7005,CCDC104_+_55746844.23-P1P2|CCDC104_-_55746818.23-P1P2,0.010750997,0.006504057,0.001565233,-0.003382894,CCDC104,predicted,0.008627527,-0.000908831,VERDADERO,FALSO,FALSO
4896,LENEP_+_154966114.23-P1P2|LENEP_+_154966078.23-P1P2,0.012693629,0.004564099,-0.010905462,-0.041158387,LENEP,predicted,0.008628864,-0.026031925,FALSO,FALSO,FALSO
985,TAS2R3_+_141463971.23-ENST00000247879.2|TAS2R3_-_141463979.23-ENST00000247879.2,0.025077794,-0.00781475,-0.010851355,-0.022275156,TAS2R3,predicted,0.008631522,-0.016563255,FALSO,FALSO,FALSO
1316,MOB3B_+_27529766.23-P1P2|MOB3B_+_27529746.23-P1P2,0.008084771,0.009178988,0.009573523,0.007225714,MOB3B,predicted,0.00863188,0.008399619,VERDADERO,FALSO,FALSO
16626,C8orf44_+_67580007.23-P1P2|C8orf44_+_67579805.23-P1P2,-0.000919181,0.018199406,-0.019603544,-0.04046682,C8orf44,predicted,0.008640113,-0.030035182,VERDADERO,FALSO,FALSO
876,SPIB_-_50922252.23-P1P2|SPIB_+_50922253.23-P1P2,0.004724284,0.012556103,0.022909948,0.020120734,SPIB,predicted,0.008640193,0.021515341,FALSO,FALSO,FALSO
10868,ANGPTL2_-_129884872.23-P1P2|ANGPTL2_+_129884905.23-P1P2,0.008950807,0.008339388,-0.026988261,0.004363487,ANGPTL2,predicted,0.008645097,-0.011312387,FALSO,FALSO,FALSO
16649,non-targeting_03187|non-targeting_03229,0.028298894,-0.011004871,0.038582525,0.034534856,non-targeting,negative_control,0.008647012,0.03655869,FALSO,FALSO,FALSO
7586,ABRA_+_107782422.23-P1P2|ABRA_+_107782407.23-P1P2,0.002825501,0.014477487,0.032951239,0.016821465,ABRA,predicted,0.008651494,0.024886352,FALSO,FALSO,FALSO
15009,KCNC1_-_17756352.23-P1|KCNC1_-_17756345.23-P1,0.017337195,-3.41073E-05,-0.009189052,-0.016791391,KCNC1,predicted,0.008651544,-0.012990221,VERDADERO,FALSO,FALSO
5883,MFI2_+_196756649.23-P1|MFI2_+_196756657.23-P1,0.022492241,-0.005185551,0.003277879,-0.004595328,MFI2,predicted,0.008653345,-0.000658725,VERDADERO,FALSO,FALSO
4089,CDS1_+_85504374.23-P1P2|CDS1_-_85504268.23-P1P2,0.016433118,0.000906009,0.004184122,-0.008518438,CDS1,predicted,0.008669564,-0.002167158,VERDADERO,FALSO,FALSO
8859,RAB11FIP3_+_475650.23-P1P2|RAB11FIP3_+_475635.23-P1P2,-0.002142254,0.01948521,-0.004429459,-0.015669838,RAB11FIP3,predicted,0.008671478,-0.010049648,VERDADERO,FALSO,FALSO
538,non-targeting_00251|non-targeting_02012,0.006596108,0.010748454,0.024851156,0.021568912,non-targeting,negative_control,0.008672281,0.023210034,FALSO,FALSO,FALSO
8126,RALGPS2_-_178694444.23-P1P2|RALGPS2_-_178694396.23-P1P2,-0.007285762,0.024641842,-0.003500709,-0.008935497,RALGPS2,predicted,0.00867804,-0.006218103,VERDADERO,FALSO,FALSO
7127,OR51G2_-_4936846.23-ENST00000322013.3|OR51G2_-_4936910.23-ENST00000322013.3,0.012107049,0.005251675,-0.001339958,-0.005501972,OR51G2,predicted,0.008679362,-0.003420965,FALSO,FALSO,FALSO
9465,TAAR6_+_132891534.23-ENST00000275198.1|TAAR6_-_132891518.23-ENST00000275198.1,0.035902065,-0.018542976,0.024112951,0.010434065,TAAR6,predicted,0.008679544,0.017273508,FALSO,FALSO,FALSO
3212,PASK_-_242088870.23-P1P2|PASK_-_242088843.23-P1P2,0.015312036,0.002062237,0.020810811,0.006182786,PASK,predicted,0.008687136,0.013496798,VERDADERO,FALSO,FALSO
18419,CRISP3_-_49712097.23-P1P2|CRISP3_-_49711767.23-P1P2,0.004371184,0.013012812,-0.018937196,-0.013634378,CRISP3,predicted,0.008691998,-0.016285787,FALSO,FALSO,FALSO
20502,FAM64A_+_6347793.23-P1P2|FAM64A_-_6347823.23-P1P2,0.013895916,0.003492949,0.056192227,0.014198153,FAM64A,predicted,0.008694432,0.03519519,VERDADERO,FALSO,FALSO
14272,AGFG1_-_228336893.23-P1P2|AGFG1_-_228336896.23-P1P2,0.00126927,0.016122474,-0.002352586,0.007059365,AGFG1,predicted,0.008695872,0.002353389,VERDADERO,FALSO,FALSO
7922,LILRA3_-_54803931.23-P1P2|LILRA3_-_54804245.23-P1P2,-0.004921425,0.022343484,-0.004543221,0.010172699,LILRA3,predicted,0.00871103,0.002814739,FALSO,FALSO,FALSO
1983,TMEM246_-_104249473.23-P1P2|TMEM246_+_104249413.23-P1P2,0.001814812,0.015620555,-0.010963867,-0.007299381,TMEM246,predicted,0.008717684,-0.009131624,VERDADERO,FALSO,FALSO
16077,ABCC2_+_101542981.23-P1P2|ABCC2_-_101542705.23-P1P2,0.000106197,0.017330573,-0.005508988,0.022190503,ABCC2,predicted,0.008718385,0.008340758,FALSO,FALSO,FALSO
8646,SPP1_-_88896899.23-P1|SPP1_+_88896943.23-P1,-0.009957414,0.027400043,-0.022966647,-0.005084518,SPP1,predicted,0.008721314,-0.014025582,FALSO,FALSO,FALSO
4505,non-targeting_02447|non-targeting_00914,-0.000785341,0.018241219,0.020884358,0.002576819,non-targeting,negative_control,0.008727939,0.011730588,FALSO,FALSO,FALSO
