,sgID,CRISPRoff-Rep1,CRISPRoff Rep2,CRISPRoff mut Rep1,CRISPRoff mut Rep2,gene,source_A,CRISPRoff_average,mutant_average,CpG,hit_and_run_hit,mutant_hit
19699,TMEM79_-_156252739.23-P1P2|TMEM79_-_156252827.23-P1P2,-0.703359294,-0.702996313,0.014478503,0.035887902,TMEM79,predicted,-0.703177803,0.025183203,FALSO,VERDADERO,FALSO
9037,FIS1_+_100888325.23-P1|FIS1_+_100888293.23-P1,-0.440353448,-0.867804351,-0.144673811,-0.122238676,FIS1,empirical,-0.6540789,-0.133456243,VERDADERO,VERDADERO,FALSO
3007,RAB4A_-_229406955.23-P1P2|RAB4A_-_229406931.23-P1P2,-0.318247284,-0.916982551,0.785013737,0.51284415,RAB4A,predicted,-0.617614917,0.648928944,VERDADERO,VERDADERO,FALSO
10871,CLDN8_+_31587998.23-P1P2|CLDN8_-_31588365.23-P1P2,-0.755213883,-0.426034621,-0.044409743,-0.056497878,CLDN8,empirical,-0.590624252,-0.050453811,FALSO,VERDADERO,FALSO
14505,PTPMT1_+_47587224.23-P1P2|PTPMT1_+_47587324.23-P1P2,-0.351478126,-0.816004408,-0.037366548,-0.036064931,PTPMT1,empirical,-0.583741267,-0.036715739,VERDADERO,VERDADERO,FALSO
16869,GINS4_-_41386776.23-P1P2|GINS4_-_41386785.23-P1P2,-0.449630578,-0.696401588,-0.039771644,-0.079692264,GINS4,empirical,-0.573016083,-0.059731954,VERDADERO,VERDADERO,FALSO
17222,KIAA1429_+_95565668.23-P1P2|KIAA1429_-_95565479.23-P1P2,-0.521228447,-0.622156013,0.047606067,-0.007142684,KIAA1429,empirical,-0.57169223,0.020231691,VERDADERO,VERDADERO,FALSO
10282,GTF3C6_-_111280005.23-P1P2|GTF3C6_-_111279978.23-P1P2,-0.575962009,-0.563876775,0.025291226,-0.01122071,GTF3C6,empirical,-0.569919392,0.007035258,VERDADERO,VERDADERO,FALSO
17648,CMIP_-_81478778.23-P1P2|CMIP_+_81478635.23-P1P2,-0.506677981,-0.610041296,-0.033836612,-0.012379255,CMIP,empirical,-0.558359639,-0.023107933,VERDADERO,VERDADERO,FALSO
10906,EMC2_+_109455869.23-P1P2|EMC2_-_109456069.23-P1P2,-0.463829975,-0.650044204,-0.031225992,-0.056209819,EMC2,empirical,-0.556937089,-0.043717905,VERDADERO,VERDADERO,FALSO
17159,ORC2_+_201828342.23-P1P2|ORC2_-_201828353.23-P1P2,-0.283861852,-0.787626901,0.008141764,0.027557472,ORC2,empirical,-0.535744376,0.017849618,VERDADERO,VERDADERO,FALSO
12722,NELFE_+_31926720.23-P1P2|NELFE_+_31926691.23-P1P2,-0.332334366,-0.726749798,-0.010543165,0.000344284,NELFE,empirical,-0.529542082,-0.005099441,VERDADERO,VERDADERO,FALSO
180,MCM6_+_136633947.23-P1P2|MCM6_+_136633964.23-P1P2,-0.312514042,-0.739847356,0.006088106,-0.188060381,MCM6,gamma,-0.526180699,-0.090986138,VERDADERO,VERDADERO,FALSO
20886,RPP40_-_5004221.23-P1P2|RPP40_+_5004190.23-P1P2,-0.559371837,-0.475439599,-0.164598023,-0.095682412,RPP40,gamma,-0.517405718,-0.130140218,VERDADERO,VERDADERO,FALSO
19881,LRR1_+_50065858.23-P1P2|LRR1_+_50065861.23-P1P2,-0.440071424,-0.591295864,-0.019888502,-0.010383808,LRR1,empirical,-0.515683644,-0.015136155,VERDADERO,VERDADERO,FALSO
18915,CHP1_-_41523705.23-P1P2|CHP1_+_41523440.23-P1P2,-0.442867344,-0.580108899,0.012965369,0.010783025,CHP1,empirical,-0.511488121,0.011874197,VERDADERO,VERDADERO,FALSO
18346,DUS2_-_68057581.23-P1P2|DUS2_-_68057192.23-P1P2,-0.655407847,-0.356575143,-0.064688391,-0.078028378,DUS2,empirical,-0.505991495,-0.071358384,VERDADERO,VERDADERO,FALSO
1307,ZNF578_-_52956839.23-P1P2|ZNF578_-_52956851.23-P1P2,-0.834901596,-0.175683372,0.536377331,0.474400622,ZNF578,predicted,-0.505292484,0.505388977,VERDADERO,VERDADERO,FALSO
20842,COPS5_-_67974403.23-P1P2|COPS5_-_67973934.23-P1P2,-0.423651772,-0.583393493,0.003357006,-0.147939707,COPS5,empirical,-0.503522632,-0.072291351,VERDADERO,VERDADERO,FALSO
20444,PRPF38B_+_109235390.23-P1P2|PRPF38B_+_109234979.23-P1P2,-0.462280582,-0.542425043,-0.031407402,-0.103015716,PRPF38B,empirical,-0.502352812,-0.067211559,VERDADERO,VERDADERO,FALSO
11490,SNAPC1_-_62229148.23-P1P2|SNAPC1_-_62229166.23-P1P2,-0.606143371,-0.396660803,-0.081553441,-0.051223945,SNAPC1,empirical,-0.501402087,-0.066388693,VERDADERO,VERDADERO,FALSO
18071,SRP19_+_112197012.23-P1P2|SRP19_+_112197015.23-P1P2,-0.432539927,-0.569787557,-0.049483674,-0.049800369,SRP19,empirical,-0.501163742,-0.049642021,VERDADERO,VERDADERO,FALSO
18581,M1AP_+_74875419.23-P1P2|M1AP_+_74875385.23-P1P2,-0.593542492,-0.406336228,-0.221703836,-0.186236666,M1AP,empirical,-0.49993936,-0.203970251,VERDADERO,VERDADERO,VERDADERO
7334,AP5M1_-_57735937.23-P1P2|AP5M1_-_57735787.23-P1P2,-0.552154248,-0.444515033,-0.032953707,-0.021719254,AP5M1,predicted,-0.498334641,-0.02733648,VERDADERO,VERDADERO,FALSO
40,ATXN10_-_46067769.23-P1P2|ATXN10_+_46067906.23-P1P2,-0.471208372,-0.517022472,-0.020887754,-0.036383841,ATXN10,gamma,-0.494115422,-0.028635798,VERDADERO,VERDADERO,FALSO
17823,BCCIP_-_127512165.23-P1P2|BCCIP_+_127512151.23-P1P2,-0.527859455,-0.458224634,-0.16962345,-0.172537177,BCCIP,empirical,-0.493042045,-0.171080313,VERDADERO,VERDADERO,FALSO
12657,ATP2A2_+_110719114.23-P1P2|ATP2A2_+_110719087.23-P1P2,-0.507694652,-0.474871993,-0.012512048,0.01426537,ATP2A2,empirical,-0.491283323,0.000876661,VERDADERO,VERDADERO,FALSO
17819,E4F1_-_2273621.23-P1P2|E4F1_-_2273656.23-P1P2,-0.58854601,-0.386685891,-0.5521351,-0.295105245,E4F1,empirical,-0.48761595,-0.423620173,VERDADERO,VERDADERO,VERDADERO
16017,FDX1L_-_10426637.23-P1P2|FDX1L_-_10426234.23-P1P2,-0.372397941,-0.601687121,-0.059044549,-0.097083848,FDX1L,empirical,-0.487042531,-0.078064199,VERDADERO,VERDADERO,FALSO
161,EXOC4_+_132937814.23-P1P2|EXOC4_-_132937863.23-P1P2,-0.468109647,-0.501203505,-0.083831486,-0.047368286,EXOC4,gamma,-0.484656576,-0.065599886,FALSO,VERDADERO,FALSO
10611,COTL1_+_84651284.23-P1P2|COTL1_+_84651438.23-P1P2,-0.487773968,-0.480829716,-0.08742993,-0.112007429,COTL1,empirical,-0.484301842,-0.09971868,VERDADERO,VERDADERO,FALSO
16025,DAD1_+_23058092.23-P1P2|DAD1_+_23058056.23-P1P2,-0.4797628,-0.488094072,-0.029350387,-0.028042768,DAD1,empirical,-0.483928436,-0.028696578,VERDADERO,VERDADERO,FALSO
6911,SHQ1_+_72897533.23-P1P2|SHQ1_+_72897517.23-P1P2,-0.36981842,-0.597112805,0.082229791,-0.066183569,SHQ1,predicted,-0.483465612,0.008023111,VERDADERO,VERDADERO,FALSO
15985,GEMIN8_-_14047941.23-P1P2|GEMIN8_-_14047956.23-P1P2,-0.4727948,-0.491517139,-0.100523808,-0.113928886,GEMIN8,empirical,-0.48215597,-0.107226347,VERDADERO,VERDADERO,FALSO
18675,CPSF6_+_69633482.23-P1P2|CPSF6_+_69633592.23-P1P2,-0.365604115,-0.591807802,-0.117383769,-0.126849607,CPSF6,empirical,-0.478705959,-0.122116688,VERDADERO,VERDADERO,FALSO
4324,ANLN_-_36429483.23-P1P2|ANLN_-_36429499.23-P1P2,-0.472972639,-0.474628057,-0.189441144,-0.164534321,ANLN,empirical,-0.473800348,-0.176987733,VERDADERO,VERDADERO,FALSO
20902,MRPS15_+_36929914.23-P1P2|MRPS15_-_36929948.23-P1P2,-0.361508539,-0.583393493,0.045490236,-0.063995471,MRPS15,empirical,-0.472451016,-0.009252617,VERDADERO,VERDADERO,FALSO
15271,LUC7L3_-_48796990.23-P1P2|LUC7L3_-_48797022.23-P1P2,-0.489458614,-0.450817116,-0.058528354,-0.055739318,LUC7L3,empirical,-0.470137865,-0.057133836,VERDADERO,VERDADERO,FALSO
19335,SHF_+_45493289.23-P2|SHF_-_45493253.23-P2,-0.410425992,-0.527740444,-0.008646208,-0.023838318,SHF,predicted,-0.469083218,-0.016242263,VERDADERO,VERDADERO,FALSO
12401,XRRA1_+_74660088.23-P1P2|XRRA1_-_74660140.23-P1P2,-0.473917457,-0.460301518,0.013453901,-0.00045523,XRRA1,predicted,-0.467109488,0.006499335,VERDADERO,VERDADERO,FALSO
20148,CRLS1_-_5986783.23-P1P2|CRLS1_+_5986814.23-P1P2,-0.270119322,-0.663787313,-0.140804436,-0.139160601,CRLS1,empirical,-0.466953318,-0.139982519,VERDADERO,VERDADERO,FALSO
13362,DDX59_+_200638989.23-P1P2|DDX59_+_200639063.23-P1P2,-0.416994734,-0.515777239,0.023554573,0.039945329,DDX59,empirical,-0.466385987,0.031749951,VERDADERO,VERDADERO,FALSO
20475,SIL1_+_138533950.23-P1P2|SIL1_+_138533947.23-P1P2,-0.406211688,-0.524131414,-0.086614572,-0.002873363,SIL1,predicted,-0.465171551,-0.044743967,VERDADERO,VERDADERO,FALSO
4316,KIAA0895_-_36429483.23-P2|KIAA0895_-_36429499.23-P2,-0.465870476,-0.464171682,-0.202501788,-0.176508462,KIAA0895,empirical,-0.465021079,-0.189505125,VERDADERO,VERDADERO,FALSO
163,NUBP1_-_10837726.23-P1P2|NUBP1_-_10837703.23-P1P2,-0.424439759,-0.503868245,-0.044422339,-0.059399218,NUBP1,gamma,-0.464154002,-0.051910779,VERDADERO,VERDADERO,FALSO
18377,TPT1_-_45915532.23-P1P2|TPT1_-_45915295.23-P1P2,-0.51529361,-0.412738344,0.009713841,-0.016505943,TPT1,empirical,-0.464015977,-0.003396051,VERDADERO,VERDADERO,FALSO
19448,VPRBP_-_51534018.23-P1P2|VPRBP_-_51534007.23-P1P2,-0.411718297,-0.51273669,-0.046476983,-0.013377565,VPRBP,empirical,-0.462227494,-0.029927274,VERDADERO,VERDADERO,FALSO
8003,GTF3C3_+_197664394.23-P1P2|GTF3C3_-_197664192.23-P1P2,-0.508781635,-0.408023152,-0.038759099,-0.049351425,GTF3C3,empirical,-0.458402394,-0.044055262,VERDADERO,VERDADERO,FALSO
18758,NAA20_-_19998023.23-P1P2|NAA20_-_19998016.23-P1P2,-0.531742666,-0.382244048,-0.052343265,0.005372302,NAA20,empirical,-0.456993357,-0.023485481,VERDADERO,VERDADERO,FALSO
19021,CDC42_+_22379256.23-P1P2|CDC42_+_22379247.23-P1P2,-0.413846934,-0.498648225,-0.00670604,-0.038316108,CDC42,empirical,-0.45624758,-0.022511074,VERDADERO,VERDADERO,FALSO
3460,ALG14_+_95538352.23-P1P2|ALG14_+_95538302.23-P1P2,-0.499801343,-0.41204069,-0.027858381,0.005142382,ALG14,empirical,-0.455921016,-0.011357999,VERDADERO,VERDADERO,FALSO
20146,RBBP6_+_24550948.23-P1P2|RBBP6_+_24550884.23-P1P2,-0.559371837,-0.351725846,-0.131828266,-0.086194389,RBBP6,empirical,-0.455548841,-0.109011328,VERDADERO,VERDADERO,FALSO
1665,C4orf32_-_113066652.23-P1P2|C4orf32_-_113066666.23-P1P2,-0.504200373,-0.40599138,-0.025823305,-0.029796976,C4orf32,predicted,-0.455095877,-0.027810141,VERDADERO,VERDADERO,FALSO
16932,DDX55_+_124086731.23-P1P2|DDX55_-_124086776.23-P1P2,-0.413586624,-0.490753909,0.02988302,0.021479512,DDX55,empirical,-0.452170266,0.025681266,VERDADERO,VERDADERO,FALSO
17609,ZBTB14_+_5295839.23-P1P2|ZBTB14_-_5295498.23-P1P2,-0.433911858,-0.470250003,-0.067630063,-0.011413585,ZBTB14,empirical,-0.452080931,-0.039521824,VERDADERO,VERDADERO,FALSO
19431,OPTN_+_13141787.23-P1P2|OPTN_+_13142222.23-P1P2,-0.347530825,-0.549419596,-0.130305297,-0.150089843,OPTN,empirical,-0.448475211,-0.14019757,VERDADERO,VERDADERO,FALSO
15095,C1orf194_-_109655294.23-P1|C1orf194_-_109655379.23-P1,-0.418202355,-0.476363679,-0.022492796,0.000787966,C1orf194,predicted,-0.447283017,-0.010852415,VERDADERO,VERDADERO,FALSO
8067,KATNBL1_+_34501996.23-P1P2|KATNBL1_+_34502180.23-P1P2,-0.525995541,-0.3676141,-0.160091186,-0.137682774,KATNBL1,predicted,-0.446804821,-0.14888698,VERDADERO,VERDADERO,FALSO
17340,MRPS28_-_80942263.23-P1P2|MRPS28_+_80942309.23-P1P2,-0.49555033,-0.397007232,-0.069730359,-0.072186242,MRPS28,empirical,-0.446278781,-0.0709583,VERDADERO,VERDADERO,FALSO
13579,WRB_+_40752275.23-P1P2|WRB_-_40752309.23-P1P2,-0.397875328,-0.492730078,-0.030528431,-0.033031103,WRB,empirical,-0.445302703,-0.031779767,VERDADERO,VERDADERO,FALSO
13159,C9orf114_+_131592052.23-P1P2|C9orf114_+_131592013.23-P1P2,-0.351078172,-0.536391387,-0.270667693,-0.21612408,C9orf114,empirical,-0.443734779,-0.243395887,VERDADERO,VERDADERO,VERDADERO
20716,RMND1_-_151773183.23-P1P2|RMND1_+_151773104.23-P1P2,-0.508578444,-0.369292576,-0.107040849,0.139503865,RMND1,empirical,-0.43893551,0.016231508,VERDADERO,VERDADERO,FALSO
19249,RAD1_-_34915601.23-P1P2|RAD1_+_34915565.23-P1P2,-0.432412453,-0.444754834,-0.023033545,-0.03577965,RAD1,predicted,-0.438583644,-0.029406598,VERDADERO,VERDADERO,FALSO
14741,EXOSC10_-_11159878.23-P1P2|EXOSC10_-_11159881.23-P1P2,-0.420456405,-0.454131504,-0.057942978,-0.0953108,EXOSC10,empirical,-0.437293955,-0.076626889,VERDADERO,VERDADERO,FALSO
1538,"FAM156B_-_52926497.23-ENST00000412319.1,ENST00000452021.2|FAM156B_-_52926501.23-ENST00000412319.1,ENST00000452021.2",-0.834058792,-0.039533009,0.019725443,-0.036862328,FAM156B,predicted,-0.436795901,-0.008568442,VERDADERO,VERDADERO,FALSO
1753,GNB1L_+_19842349.23-P1P2|GNB1L_-_19842322.23-P1P2,-0.425365544,-0.446431283,0.003328862,-0.152423821,GNB1L,empirical,-0.435898413,-0.07454748,VERDADERO,VERDADERO,FALSO
14941,GATM_-_45694399.23-P2|GATM_-_45694388.23-P2,-0.513771258,-0.357973798,-0.004297184,0.012063723,GATM,empirical,-0.435872528,0.003883269,VERDADERO,VERDADERO,FALSO
15223,ITGB1BP1_+_9563616.23-P1P2|ITGB1BP1_+_9563405.23-P1P2,-0.502505868,-0.366193698,-0.082672513,-0.088100585,ITGB1BP1,predicted,-0.434349783,-0.085386549,VERDADERO,VERDADERO,FALSO
16391,SLC35D3_+_137243540.23-P1P2|SLC35D3_+_137243395.23-P1P2,-0.401871565,-0.465679079,-0.073819571,-0.134298518,SLC35D3,predicted,-0.433775322,-0.104059045,VERDADERO,VERDADERO,FALSO
2054,FIP1L1_+_54243867.23-P1P2|FIP1L1_+_54244179.23-P1P2,-0.363047002,-0.503511611,-0.320549839,-0.371009588,FIP1L1,gamma,-0.433279306,-0.345779713,VERDADERO,VERDADERO,VERDADERO
11013,MOV10L1_+_50553000.23-P1P2|MOV10L1_-_50553091.23-P1P2,-0.014217973,-0.850589387,-0.036168483,0.006725432,MOV10L1,predicted,-0.43240368,-0.014721526,FALSO,VERDADERO,FALSO
20408,TGFB1I1_+_31483507.23-P1P2|TGFB1I1_-_31483522.23-P1P2,-0.467047675,-0.397339033,-0.042668599,-0.040056149,TGFB1I1,predicted,-0.432193354,-0.041362374,VERDADERO,VERDADERO,FALSO
8579,POU2F3_-_120110914.23-P2|POU2F3_-_120110926.23-P2,0.006916365,-0.87101675,0.298211695,-0.006393171,POU2F3,predicted,-0.432050193,0.145909262,VERDADERO,VERDADERO,FALSO
10850,ST6GALNAC4_-_130679060.23-P1P2|ST6GALNAC4_-_130679286.23-P1P2,-0.582314342,-0.281552573,0.46437175,0.420995081,ST6GALNAC4,predicted,-0.431933457,0.442683416,VERDADERO,VERDADERO,FALSO
18187,UTP23_-_117778780.23-P1P2|UTP23_+_117778813.23-P1P2,-0.525054545,-0.335443401,-0.127649937,-0.129823494,UTP23,empirical,-0.430248973,-0.128736716,VERDADERO,VERDADERO,FALSO
7191,SLC16A7_-_59990273.23-P1P2|SLC16A7_-_59989829.23-P1P2,-0.343617654,-0.511618256,-0.068847809,-0.078591032,SLC16A7,empirical,-0.427617955,-0.07371942,VERDADERO,VERDADERO,FALSO
13511,PLK4_-_128802078.23-P1P2|PLK4_-_128802148.23-P1P2,-0.382649747,-0.468478366,-0.220620551,-0.253810143,PLK4,empirical,-0.425564056,-0.237215347,VERDADERO,VERDADERO,VERDADERO
19944,UNC5B_+_72972705.23-P1P2|UNC5B_-_72972355.23-P1P2,-0.314037699,-0.536577932,-0.046400654,-0.064545786,UNC5B,empirical,-0.425307816,-0.05547322,VERDADERO,VERDADERO,FALSO
17046,SOCS5_+_46926657.23-P1P2|SOCS5_-_46926441.23-P1P2,-0.423651772,-0.426826809,-0.025547096,0.001398948,SOCS5,empirical,-0.42523929,-0.012074074,VERDADERO,VERDADERO,FALSO
11318,ARMC7_+_73106080.23-P1P2|ARMC7_-_73106057.23-P1P2,-0.400713126,-0.449470025,-0.024526527,-0.050076359,ARMC7,empirical,-0.425091576,-0.037301443,VERDADERO,VERDADERO,FALSO
7120,ADCY2_-_7396414.23-P1P2|ADCY2_-_7396463.23-P1P2,-0.3884471,-0.461584742,-0.044030927,-0.064830523,ADCY2,predicted,-0.425015921,-0.054430725,VERDADERO,VERDADERO,FALSO
17761,TTF1_+_135282175.23-P1P2|TTF1_+_135282194.23-P1P2,-0.423335377,-0.424583187,0.035028239,0.036800202,TTF1,empirical,-0.423959282,0.03591422,VERDADERO,VERDADERO,FALSO
8359,FOXRED1_-_126139081.23-P1P2|FOXRED1_-_126139098.23-P1P2,-0.444701858,-0.395756227,-0.032391669,-0.024334323,FOXRED1,empirical,-0.420229042,-0.028362996,VERDADERO,VERDADERO,FALSO
20323,ZMYM6_-_35497259.23-P1P2|ZMYM6_+_35496907.23-P1P2,-0.277611456,-0.562478121,0.012979085,-0.000600404,ZMYM6,empirical,-0.420044788,0.00618934,VERDADERO,VERDADERO,FALSO
13285,FNTA_-_42911755.23-P1P2|FNTA_+_42911840.23-P1P2,-0.372329798,-0.467100803,-0.063489085,-0.092830084,FNTA,empirical,-0.4197153,-0.078159584,VERDADERO,VERDADERO,FALSO
17335,DHX9_+_182808934.23-P1P2|DHX9_+_182808499.23-P1P2,-0.431481997,-0.407838725,-0.188066334,-0.084691935,DHX9,empirical,-0.419660361,-0.136379135,VERDADERO,VERDADERO,FALSO
5823,RPN1_+_128369636.23-P1P2|RPN1_-_128369629.23-P1P2,-0.397319526,-0.441506127,-0.020437799,-0.005410509,RPN1,empirical,-0.419412826,-0.012924154,VERDADERO,VERDADERO,FALSO
795,CHEK2_+_29138256.23-P1P2|CHEK2_+_29137741.23-P1P2,-0.402484997,-0.435188101,-0.049235286,-0.012858814,CHEK2,empirical,-0.418836549,-0.03104705,VERDADERO,VERDADERO,FALSO
1094,UBA2_+_34919311.23-P1P2|UBA2_-_34919351.23-P1P2,-0.404744216,-0.430015997,-0.045836962,-0.066183569,UBA2,empirical,-0.417380106,-0.056010266,VERDADERO,VERDADERO,FALSO
20300,TMCC3_-_95043994.23-P1P2|TMCC3_+_95044259.23-P1P2,-0.359679794,-0.474302175,-0.023790391,-0.03533483,TMCC3,predicted,-0.416990984,-0.029562611,VERDADERO,VERDADERO,FALSO
9685,NIT1_+_161087924.23-P1P2|NIT1_-_161087936.23-P1P2,-0.339581406,-0.494032834,-0.035563545,-0.030233351,NIT1,predicted,-0.41680712,-0.032898448,VERDADERO,VERDADERO,FALSO
1715,C1orf141_+_67600627.23-P1P2|C1orf141_+_67600585.23-P1P2,-0.837125476,0.004074096,0.005268738,0.073304775,C1orf141,predicted,-0.41652569,0.039286756,VERDADERO,VERDADERO,FALSO
8744,PREB_-_27357471.23-P1P2|PREB_+_27357474.23-P1P2,-0.433615633,-0.399183326,0.014383583,-0.024916698,PREB,empirical,-0.416399479,-0.005266558,VERDADERO,VERDADERO,FALSO
19232,OGFOD1_+_56485469.23-P1P2|OGFOD1_-_56485475.23-P1P2,-0.47723433,-0.354960119,-0.027898529,-0.008166697,OGFOD1,empirical,-0.416097224,-0.018032613,VERDADERO,VERDADERO,FALSO
18257,MRPS24_-_43909060.23-P1P2|MRPS24_+_43909061.23-P1P2,-0.392977424,-0.439192688,-0.051910288,-0.028163415,MRPS24,empirical,-0.416085056,-0.040036852,VERDADERO,VERDADERO,FALSO
17745,FAM213A_+_82168311.23-P1|FAM213A_-_82173632.23-P2,-0.372865562,-0.459071931,-0.028706153,-0.021859186,FAM213A,empirical,-0.415968746,-0.02528267,VERDADERO,VERDADERO,FALSO
17636,MSL3_-_11776398.23-P1P2|MSL3_+_11776346.23-P1P2,-0.508955574,-0.322778478,0.023128679,0.0163184,MSL3,predicted,-0.415867026,0.01972354,VERDADERO,VERDADERO,FALSO
15933,C5orf22_+_31532436.23-P1P2|C5orf22_-_31532449.23-P1P2,-0.44173005,-0.389489723,-0.007190263,0.022447079,C5orf22,empirical,-0.415609887,0.007628408,VERDADERO,VERDADERO,FALSO
102,MIS18A_+_33651127.23-P1P2|MIS18A_+_33651321.23-P1P2,-0.424582572,-0.406445261,-0.307132846,-0.254704507,MIS18A,gamma,-0.415513916,-0.280918676,VERDADERO,VERDADERO,VERDADERO
12394,ACP5_-_11688064.23-P1|ACP5_-_11689771.23-P2,-0.441476105,-0.389144973,-0.034113525,-0.009751068,ACP5,empirical,-0.415310539,-0.021932296,VERDADERO,VERDADERO,FALSO
20077,WDR36_-_110428101.23-P1P2|WDR36_-_110428095.23-P1P2,-0.319684363,-0.510525479,-0.125033692,-0.124477125,WDR36,empirical,-0.415104921,-0.124755408,VERDADERO,VERDADERO,FALSO
1779,PSTK_+_124739974.23-P1|PSTK_-_124740020.23-P1,-0.440298906,-0.3896268,0.001897363,0.018546625,PSTK,empirical,-0.414962853,0.010221994,VERDADERO,VERDADERO,FALSO
17594,HSD17B10_-_53461314.23-P1P2|HSD17B10_+_53461288.23-P1P2,-0.434312916,-0.395000451,-0.186893502,-0.086864892,HSD17B10,gamma,-0.414656684,-0.136879197,VERDADERO,VERDADERO,FALSO
12473,PARD3B_+_205410259.23-P1P2|PARD3B_+_205410304.23-P1P2,-0.448112201,-0.380479541,-0.034739413,-0.018722768,PARD3B,predicted,-0.414295871,-0.026731091,VERDADERO,VERDADERO,FALSO
17389,EIF5_-_103800558.23-P1|EIF5_-_103800597.23-P1,-0.388770293,-0.438752054,-0.045607041,-0.00304051,EIF5,empirical,-0.413761174,-0.024323776,VERDADERO,VERDADERO,FALSO
16573,SPCS2_-_74660310.23-P1P2|SPCS2_-_74660518.23-P1P2,-0.382938811,-0.444209263,0.032576477,-0.019466803,SPCS2,empirical,-0.413574037,0.006554837,VERDADERO,VERDADERO,FALSO
18586,IL5_-_131892533.23-P2|IL5_-_131892516.23-P2,-0.453863763,-0.372288604,-0.010703541,-0.017961288,IL5,empirical,-0.413076183,-0.014332414,VERDADERO,VERDADERO,FALSO
13556,NAE1_+_66864833.23-P1P2|NAE1_+_66864748.23-P1P2,-0.367337605,-0.457372397,-0.064420984,-0.156585501,NAE1,empirical,-0.412355001,-0.110503243,VERDADERO,VERDADERO,FALSO
11238,NARS2_+_78285660.23-P1P2|NARS2_-_78285761.23-P1P2,-0.386492701,-0.435765034,-0.04368885,-0.056579322,NARS2,empirical,-0.411128867,-0.050134086,VERDADERO,VERDADERO,FALSO
18659,RASAL2_-_178063304.23-P1P2|RASAL2_-_178063285.23-P1P2,-0.350435948,-0.471002751,0.024530514,0.020421224,RASAL2,predicted,-0.410719349,0.022475869,VERDADERO,VERDADERO,FALSO
13096,XRN2_+_21284193.23-P1P2|XRN2_+_21284031.23-P1P2,-0.353461559,-0.467883015,-0.071639673,-0.046042048,XRN2,empirical,-0.410672287,-0.058840861,VERDADERO,VERDADERO,FALSO
16709,DCTN5_-_23652764.23-P1P2|DCTN5_+_23653002.23-P1P2,-0.473169983,-0.347385456,-0.335506128,-0.243509042,DCTN5,empirical,-0.41027772,-0.289507585,VERDADERO,VERDADERO,VERDADERO
7448,RPL37A_-_217363610.23-P1P2|RPL37A_-_217363600.23-P1P2,-0.611536743,-0.208284033,-0.229303107,-0.21271818,RPL37A,gamma,-0.409910388,-0.221010643,VERDADERO,VERDADERO,VERDADERO
19921,SLC25A41_+_6433441.23-P1P2|SLC25A41_-_6433716.23-P1P2,-0.335529733,-0.483699326,-0.054138303,-0.028675866,SLC25A41,empirical,-0.409614529,-0.041407084,FALSO,VERDADERO,FALSO
11995,DDB1_+_61100555.23-P1|DDB1_+_61100457.23-P1,-0.394477599,-0.422822222,-0.118247109,-0.160521604,DDB1,empirical,-0.408649911,-0.139384357,VERDADERO,VERDADERO,FALSO
1536,FAM156B_-_52926497.23-ENST00000430150.2|FAM156B_-_52926501.23-ENST00000430150.2,-0.776233583,-0.040644484,0.018724003,-0.038098566,FAM156B,predicted,-0.408439034,-0.009687281,VERDADERO,VERDADERO,FALSO
16492,FKBP8_+_18654309.23-P1P2|FKBP8_-_18654380.23-P1P2,-0.372221505,-0.443442026,-0.020697978,-0.027780164,FKBP8,empirical,-0.407831765,-0.024239071,VERDADERO,VERDADERO,FALSO
6389,OR2W3_-_248031307.23-ENST00000537741.1|OR2W3_+_248031642.23-ENST00000537741.1,-0.439465239,-0.375633333,-0.017282892,-0.024196905,OR2W3,predicted,-0.407549286,-0.020739899,FALSO,VERDADERO,FALSO
15455,PELP1_-_4607395.23-P1P2|PELP1_-_4607218.23-P1P2,-0.460284441,-0.353703043,-0.088663828,-0.123785869,PELP1,empirical,-0.406993742,-0.106224848,VERDADERO,VERDADERO,FALSO
18780,TAF5L_+_229761790.23-P1P2|TAF5L_+_229761709.23-P1P2,-0.42983923,-0.383987508,-0.02662479,-0.018376741,TAF5L,predicted,-0.406913369,-0.022500765,VERDADERO,VERDADERO,FALSO
12854,CUL1_-_148396020.23-P1P2|CUL1_-_148396037.23-P1P2,-0.385688871,-0.427614726,-0.141000331,-0.251127647,CUL1,empirical,-0.406651799,-0.196063989,VERDADERO,VERDADERO,FALSO
26,TTC4_-_55181504.23-P1P2|TTC4_+_55181518.23-P1P2,-0.393225474,-0.419931993,-0.034511828,-0.023829073,TTC4,gamma,-0.406578733,-0.029170451,VERDADERO,VERDADERO,FALSO
17957,DIS3_+_73356045.23-P1P2|DIS3_-_73356052.23-P1P2,-0.466376157,-0.346237671,0.00350696,-0.015952285,DIS3,empirical,-0.406306914,-0.006222662,VERDADERO,VERDADERO,FALSO
52,RTCB_+_32808188.23-P1P2|RTCB_+_32808194.23-P1P2,-0.389961786,-0.422299294,-0.142910692,-0.161383736,RTCB,gamma,-0.40613054,-0.152147214,VERDADERO,VERDADERO,FALSO
2727,TMEM127_+_96931644.23-P1P2|TMEM127_+_96931705.23-P1P2,-0.367520894,-0.444385747,0.0174933,0.040388174,TMEM127,predicted,-0.40595332,0.028940737,VERDADERO,VERDADERO,FALSO
